departamento,anio,poblacion,ubigeo
MADRE DE DIOS,2025,203069,170000
MOQUEGUA,2025,202946,180000
PASCO,2025,263354,190000
PIURA,2025,2172710,200000
PUNO,2025,1199636,210000
SAN MARTIN,2025,955789,220000
TACNA,2025,402089,230000
TUMBES,2025,270134,240000
UCAYALI,2025,651416,250000
AMAZONAS,2026,430305,010000
ANCASH,2026,1208895,020000
APURIMAC,2026,423128,030000
AREQUIPA,2026,1656746,040000
AYACUCHO,2026,668193,050000
CAJAMARCA,2026,1439748,060000
CALLAO,2026,1247227,070000
CUSCO,2026,1414069,080000
HUANCAVELICA,2026,319894,090000
HUANUCO,2026,737187,100000
ICA,2026,1104956,110000
JUNIN,2026,1385412,120000
LA LIBERTAD,2026,2181593,130000
LAMBAYEQUE,2026,1382858,140000
LIMA,2026,11618679,150000
LORETO,2026,1069225,160000
MADRE DE DIOS,2026,209165,170000
MOQUEGUA,2026,204742,180000
PASCO,2026,261297,190000
PIURA,2026,2195231,200000
PUNO,2026,1190370,210000
SAN MARTIN,2026,965964,220000
TACNA,2026,407996,230000
TUMBES,2026,273604,240000
UCAYALI,2026,663630,250000
