departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy
AMAZONAS,2018,9193,12,True,116.0,23.0,1903.0,4238.0,279.0,44.0,2590.0,0.012618296529968454,0.0025019036223213314,0.20700533014249972,0.4610029370172958,0.030349178722941367,0.004786250407919069,0.2817361035570543,1.2417137119426922,419833.0,010000,2189.680182358223,,,
AMAZONAS,2019,9927,12,True,124.0,13.0,2090.0,4149.0,310.0,45.0,3196.0,0.01249118565528357,0.0013095597864410194,0.21053691951244083,0.41795104261106075,0.031227964138208924,0.004533091568449683,0.32195023672811524,1.2536885715495785,423863.0,010000,2342.0303258364142,2189.680182358223,9193.0,0.06957643618718534
AMAZONAS,2020,7917,12,True,123.0,16.0,1584.0,3438.0,157.0,30.0,2569.0,0.015536187949981054,0.0020209675382089174,0.20007578628268283,0.43425539977264116,0.019830743968675003,0.0037893141341417205,0.3244916003536693,1.2254844501501105,426806.0,010000,1854.941120790242,2342.0303258364142,9927.0,-0.20797732619974385
AMAZONAS,2021,8679,12,True,233.0,31.0,1831.0,3618.0,185.0,39.0,2742.0,0.026846410876829128,0.0035718400737412143,0.21096900564581172,0.41686830279986176,0.021315819794907247,0.004493605254061528,0.3159350155547874,1.280621321834276,428512.0,010000,2025.3808528115899,1854.941120790242,7917.0,0.09188417363281975
AMAZONAS,2022,9057,12,True,312.0,54.0,1858.0,3824.0,247.0,49.0,2713.0,0.03444849287843657,0.0059622391520370984,0.20514519156453573,0.4222148614331456,0.02727172352876228,0.005410179971292923,0.29954731147178976,1.323149128749603,429483.0,010000,2108.814551449068,2025.3808528115899,8679.0,0.041194078892202945
AMAZONAS,2023,9858,12,True,352.0,159.0,1811.0,4211.0,312.0,42.0,2971.0,0.03570703996753905,0.016129032258064516,0.18370866301481031,0.4271657537025766,0.03164942178940962,0.00426049908703591,0.301379590180564,1.3541858244590588,429943.0,010000,2292.8620770660295,2108.814551449068,9057.0,0.08727534884017829
AMAZONAS,2024,9805,12,True,422.0,106.0,1524.0,4565.0,422.0,45.0,2721.0,0.04303926568077512,0.010810810810810811,0.15543090260071393,0.4655787863335033,0.04303926568077512,0.004589495155532891,0.2775114737378888,1.3454307366407825,430123.0,010000,2279.580492091797,2292.8620770660295,9858.0,-0.0057925791119662895
AMAZONAS,2025,8597,12,True,430.0,92.0,1413.0,4258.0,185.0,27.0,2192.0,0.05001744794695824,0.010701407467721299,0.16435966034663255,0.49528905432127485,0.02151913458183087,0.0031406304524834246,0.2549726648830988,1.292312417711194,430251.0,010000,1998.135971793209,2279.580492091797,9805.0,-0.12346329566995373
AMAZONAS,2026,4707,7,False,208.0,50.0,684.0,2492.0,81.0,12.0,1180.0,0.044189504992564264,0.010622477161674103,0.14531548757170173,0.5294242617378373,0.017208413001912046,0.0025493945188017845,0.2506904610155088,1.2350734543689375,430305.0,010000,1093.8752745145885,1998.135971793209,8597.0,-0.45255213361035684
ANCASH,2018,24372,12,True,347.0,166.0,4251.0,9678.0,1414.0,32.0,8484.0,0.014237649762021992,0.006811094698834728,0.17442146725750862,0.397095027080256,0.058017397012965696,0.0013129821106187428,0.3481043820777942,1.3070828683561628,1155451.0,020000,2109.306236266185,,,
ANCASH,2019,31583,12,True,528.0,187.0,5624.0,11871.0,1761.0,42.0,11570.0,0.016717854542000442,0.0059209068169584905,0.17807048095494413,0.3758667637653168,0.05575784440996739,0.0013298293385682171,0.36633632017224455,1.311476277086278,1169522.0,020000,2700.504992638018,2109.306236266185,24372.0,0.28028113993459347
ANCASH,2020,24351,12,True,618.0,123.0,3201.0,9487.0,977.0,26.0,9919.0,0.025378834544782555,0.005051127263767402,0.131452507083898,0.38959385651513284,0.04012155558293294,0.0010677179581947353,0.40733440105129154,1.2560968837480697,1180638.0,020000,2062.528903863843,2700.504992638018,31583.0,-0.23624325469250884
ANCASH,2021,27106,12,True,673.0,177.0,3723.0,10867.0,1235.0,33.0,10398.0,0.024828451265402493,0.006529919575001844,0.137349664280971,0.4009075481443223,0.045561868221058066,0.0012174426326274626,0.38360510588061686,1.280168326946844,1188391.0,020000,2280.899131683091,2062.528903863843,24351.0,0.10587499036263881
ANCASH,2022,30036,12,True,736.0,426.0,4926.0,12697.0,1439.0,34.0,9778.0,0.024503928618990544,0.01418298042349181,0.1640031961646025,0.4227260620588627,0.04790917565587961,0.0011319749633772805,0.3255426821147956,1.3303111220845227,1194156.0,020000,2515.2492639152674,2280.899131683091,27106.0,0.10274462775530435
ANCASH,2023,31506,12,True,949.0,476.0,5558.0,12632.0,1968.0,23.0,9900.0,0.030121246746651432,0.015108233352377326,0.17641084237922935,0.4009395035866184,0.06246429251571129,0.0007300196787913413,0.31422586174062084,1.3835980795886125,1198547.0,020000,2628.682896874299,2515.2492639152674,30036.0,0.04509836642689602
ANCASH,2024,31238,12,True,1020.0,594.0,5325.0,12863.0,1687.0,36.0,9713.0,0.03265253857481273,0.019015301875920352,0.17046545873615468,0.41177412126256485,0.05400473781932262,0.001152442537934567,0.3109353991932902,1.382675744020396,1202171.0,020000,2598.465609301838,2628.682896874299,31506.0,-0.01149521975754153
ANCASH,2025,28584,12,True,1032.0,859.0,4524.0,13100.0,1150.0,26.0,7893.0,0.03610411418975651,0.03005177721802407,0.1582703610411419,0.45829834872656033,0.04023229778897285,0.0009095997760985167,0.27613350125944586,1.3655721921538484,1205639.0,020000,2370.858938703874,2598.465609301838,31238.0,-0.08759272002030372
ANCASH,2026,16754,7,False,629.0,415.0,2440.0,7741.0,578.0,18.0,4933.0,0.03754327324817954,0.02477020413035693,0.14563686283872507,0.4620389160797421,0.03449922406589471,0.0010743702996299392,0.29443714933747167,1.3356649239101448,1208895.0,020000,1385.8937293975077,2370.858938703874,28584.0,-0.4154465680040996
APURIMAC,2018,9442,12,True,85.0,4.0,1083.0,3594.0,280.0,17.0,4379.0,0.009002330014827368,0.00042363905952128787,0.11470027536538868,0.38063969497987715,0.02965473416649015,0.0018004660029654735,0.46377886041092986,1.13378110275414,427323.0,030000,2209.569810190418,,,
APURIMAC,2019,11780,12,True,130.0,5.0,1166.0,4496.0,324.0,22.0,5637.0,0.011035653650254669,0.00042444821731748726,0.09898132427843803,0.38166383701188455,0.027504244482173174,0.001867572156196944,0.47852292020373516,1.1128442259271414,429587.0,030000,2742.1686410436073,2209.569810190418,9442.0,0.24104186633835778
