departamento,anio,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct
HUANUCO,2019,17.7,38.1,1.4,16.7,11.8
HUANUCO,2020,22.1,18.0,1.4,13.6,8.4
HUANUCO,2021,16.8,35.5,1.4,13.0,7.8
HUANUCO,2022,17.8,40.4,0.8,12.2,8.2
HUANUCO,2023,16.4,38.8,0.4,15.1,10.3
HUANUCO,2024,13.8,41.9,0.5,14.6,8.6
ICA,2013,,61.3,7.1,27.9,16.7
ICA,2014,16.9,63.1,3.3,21.4,14.4
ICA,2015,20.5,63.8,6.2,22.7,14.7
ICA,2016,17.0,63.8,8.3,23.5,13.0
ICA,2017,18.7,62.1,4.1,18.4,11.0
ICA,2018,20.1,61.2,1.9,18.1,11.4
ICA,2019,21.1,55.3,3.1,17.4,10.4
ICA,2020,33.5,26.0,2.3,15.0,10.2
ICA,2021,23.7,53.2,2.1,14.2,7.5
ICA,2022,21.0,60.0,3.2,15.7,9.3
ICA,2023,21.1,62.1,3.2,19.5,10.1
ICA,2024,20.9,64.6,5.4,25.5,10.8
JUNIN,2013,,59.6,10.6,41.2,26.1
JUNIN,2014,14.8,57.1,9.1,39.2,26.8
JUNIN,2015,15.9,55.7,8.2,35.5,23.8
JUNIN,2016,14.0,53.2,6.2,35.0,24.3
JUNIN,2017,14.3,54.4,7.8,33.6,21.1
JUNIN,2018,10.2,57.5,10.7,38.2,24.5
JUNIN,2019,11.4,59.7,5.9,34.9,24.1
JUNIN,2020,23.3,28.3,4.1,34.0,24.3
JUNIN,2021,17.1,48.6,2.7,22.5,15.0
JUNIN,2022,17.9,59.2,3.1,26.6,18.6
JUNIN,2023,19.0,59.1,4.1,28.7,20.0
JUNIN,2024,16.3,57.5,3.8,34.6,22.1
LA LIBERTAD,2013,,55.9,13.4,33.9,18.3
LA LIBERTAD,2014,18.2,52.5,8.1,29.9,18.6
LA LIBERTAD,2015,20.9,49.6,9.5,30.4,18.4
LA LIBERTAD,2016,22.8,46.2,10.5,29.8,15.8
LA LIBERTAD,2017,18.9,43.5,5.3,25.2,15.3
LA LIBERTAD,2018,17.8,49.4,6.0,23.9,14.1
LA LIBERTAD,2019,17.0,50.9,6.2,24.1,14.8
LA LIBERTAD,2020,24.7,24.4,5.0,22.8,14.4
LA LIBERTAD,2021,25.4,50.9,5.7,20.0,10.8
LA LIBERTAD,2022,20.8,58.1,3.9,21.6,12.5
LA LIBERTAD,2023,18.8,57.7,4.5,22.5,12.2
LA LIBERTAD,2024,17.5,59.2,4.1,25.0,13.1
LAMBAYEQUE,2013,,58.9,1.0,22.2,17.8
LAMBAYEQUE,2014,19.4,63.5,0.4,19.9,16.7
LAMBAYEQUE,2015,21.1,64.3,0.5,20.1,17.7
LAMBAYEQUE,2016,25.0,61.0,0.6,17.4,14.2
LAMBAYEQUE,2017,21.3,56.8,0.8,18.6,14.0
LAMBAYEQUE,2018,18.2,65.7,0.2,13.7,11.7
LAMBAYEQUE,2019,25.6,54.7,0.5,15.9,13.5
LAMBAYEQUE,2020,38.8,34.3,0.2,16.7,13.7
LAMBAYEQUE,2021,27.7,57.0,0.3,11.7,9.7
LAMBAYEQUE,2022,22.8,65.1,0.5,13.6,11.3
LAMBAYEQUE,2023,22.6,64.4,1.9,16.7,11.6
LAMBAYEQUE,2024,17.2,56.0,1.3,16.9,10.9
LIMA METROPOLITANA,2013,,59.2,15.2,40.4,25.4
LIMA METROPOLITANA,2014,19.0,60.2,8.8,34.2,23.6
LIMA METROPOLITANA,2015,19.8,61.8,12.1,34.6,22.1
LIMA METROPOLITANA,2016,16.8,63.3,9.1,30.8,20.5
LIMA METROPOLITANA,2017,19.7,59.3,5.4,29.1,20.5
LIMA METROPOLITANA,2018,18.3,60.0,5.0,28.4,20.1
LIMA METROPOLITANA,2019,19.2,62.7,3.9,30.9,22.8
LIMA METROPOLITANA,2020,30.4,37.7,3.2,27.9,21.1
