VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO
20.8,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2022,13,DEPARTAMENTO,LA LIBERTAD
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2022,19,DEPARTAMENTO,PASCO
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2022,9,DEPARTAMENTO,HUANCAVELICA
19,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2022,2,DEPARTAMENTO,ÁNCASH
19,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2022,4,DEPARTAMENTO,AREQUIPA
18.1,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2022,18,DEPARTAMENTO,MOQUEGUA
17.9,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2022,12,DEPARTAMENTO,JUNÍN
17.8,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2022,10,DEPARTAMENTO,HUÁNUCO
17.5,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2022,23,DEPARTAMENTO,TACNA
17,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2022,25,DEPARTAMENTO,UCAYALI
16.5,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2022,3,DEPARTAMENTO,APURÍMAC
13.4,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2022,8,DEPARTAMENTO,CUSCO
12.4,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2022,5,DEPARTAMENTO,AYACUCHO
9.7,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2022,17,DEPARTAMENTO,MADRE DE DIOS
7.1,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2022,21,DEPARTAMENTO,PUNO
20.5,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2023,0,NACIONAL,NACIONAL
34.6,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2023,24,DEPARTAMENTO,TUMBES
28.7,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2023,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
27.1,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2023,1,DEPARTAMENTO,AMAZONAS
23.5,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2023,1501,DEPARTAMENTO,LIMA METROPOLITANA
22.6,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2023,14,DEPARTAMENTO,LAMBAYEQUE
22.6,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2023,1599,DEPARTAMENTO,REGIÓN LIMA
22.4,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2023,20,DEPARTAMENTO,PIURA
22.1,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2023,22,DEPARTAMENTO,SAN MARTÍN
21.5,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2023,6,DEPARTAMENTO,CAJAMARCA
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2023,11,DEPARTAMENTO,ICA
21,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2023,25,DEPARTAMENTO,UCAYALI
20.4,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2023,2,DEPARTAMENTO,ÁNCASH
19.8,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2023,4,DEPARTAMENTO,AREQUIPA
19.7,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2023,16,DEPARTAMENTO,LORETO
19,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2023,12,DEPARTAMENTO,JUNÍN
18.8,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2023,13,DEPARTAMENTO,LA LIBERTAD
17.9,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2023,19,DEPARTAMENTO,PASCO
17.5,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2023,18,DEPARTAMENTO,MOQUEGUA
16.7,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2023,23,DEPARTAMENTO,TACNA
16.4,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2023,10,DEPARTAMENTO,HUÁNUCO
14.3,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2023,8,DEPARTAMENTO,CUSCO
11.8,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2023,9,DEPARTAMENTO,HUANCAVELICA
11.7,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2023,3,DEPARTAMENTO,APURÍMAC
11.1,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2023,5,DEPARTAMENTO,AYACUCHO
9.3,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2023,17,DEPARTAMENTO,MADRE DE DIOS
8,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2023,21,DEPARTAMENTO,PUNO
17.6,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2024,0,NACIONAL,NACIONAL
37.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2024,24,DEPARTAMENTO,TUMBES
26.1,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2024,1,DEPARTAMENTO,AMAZONAS
24.8,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2024,22,DEPARTAMENTO,SAN MARTÍN
24.7,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2024,6,DEPARTAMENTO,CAJAMARCA
23.1,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2024,20,DEPARTAMENTO,PIURA
21.7,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2024,25,DEPARTAMENTO,UCAYALI
20.9,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2024,11,DEPARTAMENTO,ICA
20,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2024,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
18.4,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2024,4,DEPARTAMENTO,AREQUIPA
17.9,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2024,2,DEPARTAMENTO,ÁNCASH
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2024,1501,DEPARTAMENTO,LIMA METROPOLITANA
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2024,19,DEPARTAMENTO,PASCO
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2024,16,DEPARTAMENTO,LORETO
17.5,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2024,13,DEPARTAMENTO,LA LIBERTAD
17.2,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2024,14,DEPARTAMENTO,LAMBAYEQUE
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2024,18,DEPARTAMENTO,MOQUEGUA
16.3,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2024,12,DEPARTAMENTO,JUNÍN
16.2,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2024,23,DEPARTAMENTO,TACNA
15.7,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2024,1599,DEPARTAMENTO,REGIÓN LIMA
13.9,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2024,8,DEPARTAMENTO,CUSCO
13.8,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2024,10,DEPARTAMENTO,HUÁNUCO
11.7,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2024,3,DEPARTAMENTO,APURÍMAC
9.4,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2024,9,DEPARTAMENTO,HUANCAVELICA
8.9,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2024,5,DEPARTAMENTO,AYACUCHO
7.6,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2024,21,DEPARTAMENTO,PUNO
7.2,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2024,17,DEPARTAMENTO,MADRE DE DIOS
58.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,0,AÑO,2013,0,NACIONAL,NACIONAL
68,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,1,AÑO,2013,3,DEPARTAMENTO,APURÍMAC
65.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,2,AÑO,2013,21,DEPARTAMENTO,PUNO
64.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,3,AÑO,2013,8,DEPARTAMENTO,CUSCO
63.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,4,AÑO,2013,20,DEPARTAMENTO,PIURA
62.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,5,AÑO,2013,23,DEPARTAMENTO,TACNA
61.7,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,6,AÑO,2013,17,DEPARTAMENTO,MADRE DE DIOS
61.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,7,AÑO,2013,11,DEPARTAMENTO,ICA
59.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,8,AÑO,2013,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
59.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,9,AÑO,2013,12,DEPARTAMENTO,JUNÍN
59.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,10,AÑO,2013,6,DEPARTAMENTO,CAJAMARCA
59.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,11,AÑO,2013,10,DEPARTAMENTO,HUÁNUCO
59.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,12,AÑO,2013,1501,DEPARTAMENTO,LIMA METROPOLITANA
58.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,13,AÑO,2013,14,DEPARTAMENTO,LAMBAYEQUE
58.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,14,AÑO,2013,24,DEPARTAMENTO,TUMBES
58,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,15,AÑO,2013,4,DEPARTAMENTO,AREQUIPA
57.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,16,AÑO,2013,5,DEPARTAMENTO,AYACUCHO
56,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,17,AÑO,2013,25,DEPARTAMENTO,UCAYALI
55.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,18,AÑO,2013,13,DEPARTAMENTO,LA LIBERTAD
54.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,19,AÑO,2013,18,DEPARTAMENTO,MOQUEGUA
52.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,20,AÑO,2013,1599,DEPARTAMENTO,REGIÓN LIMA
51.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,21,AÑO,2013,9,DEPARTAMENTO,HUANCAVELICA
51.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,22,AÑO,2013,19,DEPARTAMENTO,PASCO
48.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,23,AÑO,2013,16,DEPARTAMENTO,LORETO
48.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,24,AÑO,2013,2,DEPARTAMENTO,ÁNCASH
46.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,25,AÑO,2013,1,DEPARTAMENTO,AMAZONAS
34.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,26,AÑO,2013,22,DEPARTAMENTO,SAN MARTÍN
58.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,0,AÑO,2014,0,NACIONAL,NACIONAL
70.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,1,AÑO,2014,21,DEPARTAMENTO,PUNO
67.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,2,AÑO,2014,23,DEPARTAMENTO,TACNA
66.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,3,AÑO,2014,3,DEPARTAMENTO,APURÍMAC
63.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,4,AÑO,2014,14,DEPARTAMENTO,LAMBAYEQUE
63.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,5,AÑO,2014,11,DEPARTAMENTO,ICA
62.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,6,AÑO,2014,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
62,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,7,AÑO,2014,17,DEPARTAMENTO,MADRE DE DIOS
61.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,8,AÑO,2014,8,DEPARTAMENTO,CUSCO
60.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,9,AÑO,2014,1501,DEPARTAMENTO,LIMA METROPOLITANA
59.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,10,AÑO,2014,20,DEPARTAMENTO,PIURA
59.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,11,AÑO,2014,5,DEPARTAMENTO,AYACUCHO
58.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,12,AÑO,2014,25,DEPARTAMENTO,UCAYALI
58.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,13,AÑO,2014,24,DEPARTAMENTO,TUMBES
57.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,14,AÑO,2014,1599,DEPARTAMENTO,REGIÓN LIMA
57.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,15,AÑO,2014,4,DEPARTAMENTO,AREQUIPA
57.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,16,AÑO,2014,12,DEPARTAMENTO,JUNÍN
57,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,17,AÑO,2014,6,DEPARTAMENTO,CAJAMARCA
56.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,18,AÑO,2014,10,DEPARTAMENTO,HUÁNUCO
52.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,19,AÑO,2014,13,DEPARTAMENTO,LA LIBERTAD
50.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,20,AÑO,2014,18,DEPARTAMENTO,MOQUEGUA
49.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,21,AÑO,2014,19,DEPARTAMENTO,PASCO
48.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,22,AÑO,2014,2,DEPARTAMENTO,ÁNCASH
45.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,23,AÑO,2014,9,DEPARTAMENTO,HUANCAVELICA
45.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,24,AÑO,2014,16,DEPARTAMENTO,LORETO
38.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,25,AÑO,2014,1,DEPARTAMENTO,AMAZONAS
34.7,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,26,AÑO,2014,22,DEPARTAMENTO,SAN MARTÍN
58.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,0,AÑO,2015,0,NACIONAL,NACIONAL
69.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,1,AÑO,2015,17,DEPARTAMENTO,MADRE DE DIOS
68,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,2,AÑO,2015,21,DEPARTAMENTO,PUNO
67.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,3,AÑO,2015,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
64.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,4,AÑO,2015,14,DEPARTAMENTO,LAMBAYEQUE
64.2,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,5,AÑO,2015,3,DEPARTAMENTO,APURÍMAC
63.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,6,AÑO,2015,23,DEPARTAMENTO,TACNA
63.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,7,AÑO,2015,11,DEPARTAMENTO,ICA
61.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,8,AÑO,2015,8,DEPARTAMENTO,CUSCO
61.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,9,AÑO,2015,1501,DEPARTAMENTO,LIMA METROPOLITANA
59.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,10,AÑO,2015,20,DEPARTAMENTO,PIURA
59,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,11,AÑO,2015,25,DEPARTAMENTO,UCAYALI
57.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,12,AÑO,2015,4,DEPARTAMENTO,AREQUIPA
57.1,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,13,AÑO,2015,5,DEPARTAMENTO,AYACUCHO
55.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,14,AÑO,2015,10,DEPARTAMENTO,HUÁNUCO
55.7,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,15,AÑO,2015,12,DEPARTAMENTO,JUNÍN
54.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,16,AÑO,2015,24,DEPARTAMENTO,TUMBES
54.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,17,AÑO,2015,1599,DEPARTAMENTO,REGIÓN LIMA
50.4,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,18,AÑO,2015,6,DEPARTAMENTO,CAJAMARCA
49.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,19,AÑO,2015,13,DEPARTAMENTO,LA LIBERTAD
48.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,20,AÑO,2015,18,DEPARTAMENTO,MOQUEGUA
48.7,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,21,AÑO,2015,16,DEPARTAMENTO,LORETO
48.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,22,AÑO,2015,19,DEPARTAMENTO,PASCO
47.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,23,AÑO,2015,9,DEPARTAMENTO,HUANCAVELICA
41.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,24,AÑO,2015,2,DEPARTAMENTO,ÁNCASH
35.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,25,AÑO,2015,1,DEPARTAMENTO,AMAZONAS
30.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,26,AÑO,2015,22,DEPARTAMENTO,SAN MARTÍN
58,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,0,AÑO,2016,0,NACIONAL,NACIONAL
68.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,1,AÑO,2016,21,DEPARTAMENTO,PUNO
64.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,2,AÑO,2016,17,DEPARTAMENTO,MADRE DE DIOS
64,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,3,AÑO,2016,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
63.9,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,4,AÑO,2016,23,DEPARTAMENTO,TACNA
63.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,5,AÑO,2016,11,DEPARTAMENTO,ICA
63.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,6,AÑO,2016,1501,DEPARTAMENTO,LIMA METROPOLITANA
62.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,7,AÑO,2016,20,DEPARTAMENTO,PIURA
61.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,8,AÑO,2016,3,DEPARTAMENTO,APURÍMAC
61,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,9,AÑO,2016,14,DEPARTAMENTO,LAMBAYEQUE
60.5,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,10,AÑO,2016,4,DEPARTAMENTO,AREQUIPA
58.8,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,11,AÑO,2016,8,DEPARTAMENTO,CUSCO
56.6,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,12,AÑO,2016,1599,DEPARTAMENTO,REGIÓN LIMA
56.3,PORCENTAJE DE PERCEPCIÓN DE INSEGURIDAD AL CAMINAR SOLO(A) DE NOCHE EN SU ZONA O BARRIO,13,AÑO,2016,25,DEPARTAMENTO,UCAYALI
