feature,importance_mean,importance_std
victimizacion_robo_pct_lag1,0.10040628054740958,0.04600575041843783
victimizacion_pct_lag1,0.06755472350230414,0.04135554322792792
denuncias_total_lag1,0.05882667399804496,0.019891276833647012
percepcion_inseguridad_pct_lag1,0.04036076490713586,0.020435370830317007
prop_robo,0.039138868523949155,0.020928519151738916
denuncias_tasa_yoy,0.03629032258064513,0.0
prop_hurto,0.02663329811396699,0.022961487298718546
confianza_pnp_pct_lag1,0.023200757575757555,0.00876906211053604
denuncias_tasa_100k_lag1,0.018977578201368514,0.021645311956742803
prop_violencia_contra_la_mujer_e_integrantes,0.016571969696969682,0.01283659253004351
prop_extorsion,0.00994318181818181,0.01283659253004351
diversidad_modalidades,0.006628787878787873,0.01148139739865732
prop_estafa,0.0,0.0
victimizacion_estafa_pct_lag1,-0.006048387096774188,0.02065917493137014
