cluster,observaciones,territorios,denuncias_tasa_100k,victimization,percepcion,confianza,brecha
0,41,"APURIMAC, AREQUIPA, AYACUCHO, CUSCO, HUANCAVELICA, HUANUCO, JUNIN, MADRE DE DIOS",2509.674319625329,26.836585365853658,54.00243902439024,13.23658536585366,27.165853658536584
1,61,"AMAZONAS, ANCASH, AREQUIPA, AYACUCHO, CAJAMARCA, CUSCO, HUANCAVELICA, HUANUCO",1877.5254305337435,17.514754098360658,31.601639344262296,23.63770491803279,14.08688524590164
2,59,"AREQUIPA, AYACUCHO, CAJAMARCA, HUANUCO, ICA, JUNIN, LA LIBERTAD, LAMBAYEQUE",2861.8438986178176,21.04576271186441,56.001694915254234,20.120338983050846,34.955932203389835
