,denuncias_tasa_100k,victimizacion_pct,percepcion_inseguridad_pct,confianza_pnp_pct,brecha_percepcion_victimizacion,diversidad_modalidades
denuncias_tasa_100k,1.0,0.15986604972357854,0.47881981444055577,-0.0665110022869278,0.4591784754387855,0.3652194357366771
victimizacion_pct,0.15986604972357854,1.0,0.48893072599567505,-0.5478974434890472,0.03675211428020218,-0.0070501972526166535
percepcion_inseguridad_pct,0.47881981444055577,0.48893072599567505,1.0,-0.39981716244304644,0.8671429827701058,0.4236865632362227
confianza_pnp_pct,-0.0665110022869278,-0.5478974434890472,-0.39981716244304644,1.0,-0.15841062045176868,0.16633628574627438
brecha_percepcion_victimizacion,0.4591784754387855,0.03675211428020218,0.8671429827701058,-0.15841062045176868,1.0,0.498538389814603
diversidad_modalidades,0.3652194357366771,-0.0070501972526166535,0.4236865632362227,0.16633628574627438,0.498538389814603,1.0
