threshold,precision,recall,f1
0.3,0.5833333333333334,1.0,0.7368421052631579
0.4,0.6363636363636364,1.0,0.7777777777777778
0.5,0.7777777777777778,1.0,0.875
0.6,0.8,0.8571428571428571,0.8275862068965517
0.7,0.9090909090909091,0.7142857142857143,0.8
