anio,denuncias_total,denuncias_tasa_100k,victimizacion_pct,percepcion_inseguridad_pct,confianza_pnp_pct
2018,774804,2233.7247653490717,23.636,50.504,16.592
2019,854898,2504.6107220571334,23.758000000000003,49.986000000000004,18.524
2020,649169,1980.1211570642613,20.24,24.788,26.65
2021,754638,2294.7093667130807,15.485999999999999,46.854,21.776
2022,877736,2532.970944872775,20.078,54.163999999999994,19.68
2023,1044843,2823.4270377055445,22.831999999999997,51.413999999999994,19.062
2024,1014315,2723.833548158804,24.44,50.86600000000001,17.772000000000002
